Start datum,Eind datum,Verbruik in kW/h
03-12-2023 01:15,03-12-2023 01:30,0.000000
03-12-2023 01:30,03-12-2023 01:45,0.000000
03-12-2023 01:45,03-12-2023 02:00,0.000000
03-12-2023 02:00,03-12-2023 02:15,0.000000
03-12-2023 02:15,03-12-2023 02:30,0.000000
03-12-2023 02:30,03-12-2023 02:45,0.000000
03-12-2023 02:45,03-12-2023 03:00,0.000000
03-12-2023 03:00,03-12-2023 03:15,0.000000
03-12-2023 03:15,03-12-2023 03:30,0.000000
03-12-2023 03:30,03-12-2023 03:45,0.000000
03-12-2023 03:45,03-12-2023 04:00,0.000000
03-12-2023 04:00,03-12-2023 04:15,0.000000
03-12-2023 04:15,03-12-2023 04:30,0.000000
03-12-2023 04:30,03-12-2023 04:45,0.000000
03-12-2023 04:45,03-12-2023 05:00,0.000000
03-12-2023 05:00,03-12-2023 05:15,0.000000
03-12-2023 05:15,03-12-2023 05:30,0.000000
03-12-2023 05:30,03-12-2023 05:45,0.000000
03-12-2023 05:45,03-12-2023 06:00,0.000000
03-12-2023 06:00,03-12-2023 06:15,0.000000
03-12-2023 06:15,03-12-2023 06:30,0.000000
03-12-2023 06:30,03-12-2023 06:45,0.000000
03-12-2023 06:45,03-12-2023 07:00,0.000000
03-12-2023 07:00,03-12-2023 07:15,0.000000
03-12-2023 07:15,03-12-2023 07:30,0.000000
03-12-2023 07:30,03-12-2023 07:45,0.000000
03-12-2023 07:45,03-12-2023 08:00,0.000000
03-12-2023 08:00,03-12-2023 08:15,0.000000
03-12-2023 08:15,03-12-2023 08:30,0.000000
03-12-2023 08:30,03-12-2023 08:45,0.000000
03-12-2023 08:45,03-12-2023 09:00,0.000000
03-12-2023 09:00,03-12-2023 09:15,0.000000
03-12-2023 09:15,03-12-2023 09:30,0.000000
03-12-2023 09:30,03-12-2023 09:45,0.000000
03-12-2023 09:45,03-12-2023 10:00,0.000000
03-12-2023 10:00,03-12-2023 10:15,0.000000
03-12-2023 10:15,03-12-2023 10:30,0.000000
03-12-2023 10:30,03-12-2023 10:45,0.000000
03-12-2023 10:45,03-12-2023 11:00,0.000000
03-12-2023 11:00,03-12-2023 11:15,0.000000
03-12-2023 11:15,03-12-2023 11:30,0.000000
03-12-2023 11:30,03-12-2023 11:45,0.000000
03-12-2023 11:45,03-12-2023 12:00,0.000000
03-12-2023 12:00,03-12-2023 12:15,0.000000
03-12-2023 12:15,03-12-2023 12:30,0.000000
03-12-2023 12:30,03-12-2023 12:45,0.000000
03-12-2023 12:45,03-12-2023 13:00,0.000000
03-12-2023 13:00,03-12-2023 13:15,0.000000
03-12-2023 13:15,03-12-2023 13:30,0.000000
03-12-2023 13:30,03-12-2023 13:45,0.000000
03-12-2023 13:45,03-12-2023 14:00,0.000000
03-12-2023 14:00,03-12-2023 14:15,0.000000
03-12-2023 14:15,03-12-2023 14:30,0.000000
